epoch,train_rmse,train_mae,val_rmse,val_mae
1,0.8515660270173864,0.680452876249893,0.8752820500894988,0.7012608011191721
2,0.8449384440095244,0.6746497217922923,0.868707706170221,0.6942202658956038
3,0.8407622849292563,0.6710272241903712,0.8663174410567395,0.6934848898114275
4,0.8275275793626259,0.6599951088704888,0.8576684475990467,0.6858419365380707
5,0.808534069162427,0.6451861036737983,0.8471087999541319,0.6775901312135666
6,0.788134874927572,0.6288895169324938,0.840708512713048,0.671069236313843
7,0.773101726037427,0.6197839098779652,0.8435256615006663,0.6756985178418403
8,0.7483468153110019,0.5973652572694594,0.8406557108683492,0.6690298141409002
9,0.7208246637161945,0.577919703283314,0.8412090486298173,0.6694526460644168
10,0.6943222983128398,0.5543439623494391,0.8421850319461235,0.66725639747957
11,0.6700254634399754,0.5363986963741348,0.8444515734177898,0.6715708701879834
12,0.6439008738735565,0.5152978663938259,0.8400151738241652,0.6677136655255942
13,0.629614565475547,0.5006661022643986,0.8484486574291618,0.6694975361664854
14,0.6165608560676276,0.4927071530181206,0.8530325361503867,0.6773035034852878
15,0.601569508287266,0.47822794809773267,0.8547477272889336,0.6736887050613317
16,0.5919442125656658,0.47223446569625294,0.8576302333548422,0.6787809778781059
17,0.5851660973380379,0.46251705998005477,0.85834575951735,0.6748827700890805
