epoch,train_rmse,train_mae,val_rmse,val_mae
1,0.8495375936292925,0.6787967282000853,0.868297170159798,0.6935956905258436
2,0.8452408099034493,0.6756275716643707,0.866357289958848,0.6924063845173605
3,0.8397012101868188,0.6709217853537633,0.8654717384323743,0.6894701325832674
4,0.8242443094139172,0.6568801210636711,0.8527699998480196,0.6782232212852547
5,0.8042139595625322,0.6410337325350427,0.8460505016759139,0.6721757184752825
6,0.7848196887133674,0.6244958866146799,0.8444758009997897,0.6706889620494632
7,0.766003942182254,0.6145801831653824,0.8436968021292706,0.6713183109845429
8,0.7361671190613831,0.5889185137527538,0.8376174630596374,0.6662464198974933
9,0.7112326510558159,0.5693099650968498,0.8386035876684109,0.6666864777114038
10,0.698413851196783,0.5599739020894526,0.8473778041253163,0.671729037578318
11,0.6714482204484138,0.5349763328342599,0.8477724612029361,0.6702777700052813
12,0.6418668096760568,0.5127501625178396,0.8428368998463035,0.6664868316514623
13,0.6221118336975631,0.4971848524709392,0.8452634682823429,0.6681545361574469
