fold,best_val_rmse,final_test_rmse,epochs_run
0,0.8396378872896786,,14
1,0.828029006092584,,14
2,0.8407315467763147,,14
3,0.8376174630596374,,13
4,0.8316964223480853,,13
5,0.8388047330870892,,15
6,0.8400754461980682,,13
7,0.8400151738241652,,17
8,0.8431092012065632,,13
9,0.8404897159612013,,14
