epoch,train_rmse,train_mae,val_rmse,val_mae
1,0.8585334701512853,0.6863996831794733,0.8693443895172613,0.6911930744185438
2,0.8501911499429154,0.6789700618928916,0.8590511707766834,0.684474492054767
3,0.8445809075703259,0.6751690416703228,0.8630270194359255,0.6864253664250465
4,0.8297433255116905,0.6616702107294059,0.8524071435826915,0.6759473311464113
5,0.8101963758216754,0.6475137829923897,0.8417052243179569,0.6696851595735662
6,0.7915677568917555,0.6339757997953082,0.8375590401980507,0.6670408169123422
7,0.7651714981294641,0.6112462867249696,0.8328218811641597,0.6615610984130076
8,0.7425526568602567,0.5950576602090933,0.8316964223480853,0.6622563879701724
9,0.722020778367419,0.5734563699154401,0.8370414564506454,0.6614818797206494
10,0.6994848572132937,0.5606869474854593,0.83745789665653,0.666555218581458
11,0.6740950861521743,0.5395309867030518,0.8426884899060022,0.6665404132498424
12,0.6551621549773188,0.521223538692844,0.841789235285656,0.6654838079586015
13,0.6368597253160896,0.510629885025041,0.8471189155774451,0.671362437355911
