epoch,train_rmse,train_mae,val_rmse,val_mae
1,0.8533671577300658,0.6837731206647212,0.8789279472962396,0.7049846629142134
2,0.8473493565772533,0.6766445648679492,0.8784917893892702,0.7025853593453663
3,0.8417341661432285,0.6718092564587377,0.8718293906516286,0.6959746599787788
4,0.8269274211820913,0.6601949973915637,0.8637409862840869,0.689237071651943
5,0.808712839473285,0.6462891331327398,0.8528901890095901,0.6798617532186917
6,0.7871945007151788,0.6263398363266467,0.8468027771591365,0.672071168110619
7,0.7663076604081086,0.6140355716330423,0.844281612577502,0.6765537276026561
8,0.745369363829398,0.5937344795760171,0.8400754461980682,0.6661971090885194
9,0.727399387473625,0.5841085650647063,0.8547822156895872,0.6841655288998683
10,0.6990383476537118,0.5579217045825372,0.8429211038966288,0.6671182651452121
11,0.6685435938411306,0.5344866591868903,0.8452544069086203,0.6710926829978912
12,0.6431032755747123,0.5139375991750349,0.8427256386186975,0.6679720471919282
13,0.6312789473806789,0.5057864185977246,0.8527614152169902,0.6775644882328041
