epoch,train_rmse,train_mae,val_rmse,val_mae
1,0.8506882028554136,0.6800445145851666,0.8734427354166334,0.7004494776865181
2,0.8444361540731481,0.6738502563305613,0.8689568201820778,0.6936172776332465
3,0.8391413423094226,0.6698693638318829,0.8631147568619298,0.690398986840315
4,0.822623942431468,0.6562162423138086,0.8576779350112789,0.6866998057007704
5,0.8064621605655131,0.6446990258688632,0.8495230792416935,0.6803085185074058
6,0.7958864223559404,0.6332662863018786,0.8528942697150566,0.678468540123748
7,0.7865713747740561,0.6309987341369041,0.8540900347473177,0.6862473351183245
8,0.7547550792153095,0.602872948701633,0.8511483804245124,0.6768374138167254
9,0.7198238832233298,0.5760716495164696,0.8404897159612013,0.6722004338741189
10,0.6934211176583859,0.5536312121251808,0.8451468881822386,0.6711009495432907
11,0.6681720051712682,0.53644312314911,0.8455265590876196,0.6756632662052149
12,0.6473634620088492,0.5134240419676015,0.8489575047184988,0.6705423362310379
13,0.642541429284593,0.5173542433786351,0.8640931345811123,0.6896255765042542
14,0.6184655787776858,0.4899917873208181,0.8596694265301673,0.6780326840690822
