epoch,train_rmse,train_mae,val_rmse,val_mae
1,0.8535267152656126,0.6834174772411299,0.8782960341241595,0.7032166769226742
2,0.8452477518668403,0.6754296092315082,0.8688806102657842,0.6938495466030866
3,0.8401718472545795,0.6704228173406114,0.8676700274559171,0.6918826556077462
4,0.8253189162796285,0.6587928511858288,0.858241217421914,0.6838986286487444
5,0.8077839248703936,0.6443195545613422,0.8504669874056668,0.6776608848424492
6,0.7914732441700049,0.6341455452034552,0.8470161197080295,0.6761260011870402
7,0.7832693699773964,0.6221010753155299,0.857803202073327,0.6781944694545798
8,0.7619352562691316,0.6141630059332494,0.8558326569573075,0.6833439161399388
9,0.72217261029151,0.5735385707465688,0.842601675666383,0.6639132461211933
10,0.6920945640505751,0.5558316081115459,0.8388047330870892,0.6640420414142085
11,0.6681752474829611,0.5332807765508616,0.8414246992654288,0.6634901408469586
12,0.6501952003528467,0.5203473143051779,0.8474138604037224,0.6684266693276718
13,0.6320783569688438,0.5044782078244343,0.8535022852445026,0.6708204158911912
14,0.6136033003580523,0.4898028113306513,0.8513941039344183,0.668333404566035
15,0.5981649757419882,0.47876405041356696,0.8563119511585512,0.672327047521826
