ratio,split,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
10_90,test_final,0.7895743734932121,0.09702598909946591,0.8755943030171565,0.004247292206075421,0.2030057467748454,0.029616655761879204,0.8526055096127241,0.005957881224048518
10_90,val_inner,0.7720887105963495,0.1735268300847205,0.8977378986055486,0.0021575315104754803,0.2054076496513167,0.04061685543077795,0.8669102876324251,0.005237515603824748
20_80,test_final,0.8734143661780692,0.10077426350494777,0.8787143869462289,0.003964138060447928,0.22299320217513982,0.028961214633329322,0.8577112453541954,0.0064503854421324985
20_80,val_inner,0.8421108727045477,0.1848296131224289,0.9002937628689388,0.0022694213369945514,0.2236017890690563,0.04473611650533413,0.8705340597654784,0.005054492265325202
30_70,test_final,0.9858903537544015,0.11064830811104542,0.8811109954343721,0.003648046503018444,0.2496105553528083,0.02993650682643031,0.862046554318758,0.006854383245953929
30_70,val_inner,0.9446823522883584,0.17434664229427269,0.9018688688856622,0.002069494690721352,0.2503872164107989,0.04415656069222912,0.8732008052119685,0.004505448874089872
40_60,test_final,1.165388752628362,0.11818049301818076,0.883002469413684,0.0036792188184879408,0.2935099181726285,0.03505478195682103,0.865566353150833,0.007291874893427705
40_60,val_inner,1.0998754303232416,0.16100105099393133,0.9030438934478147,0.0020176654098186136,0.29254650791028214,0.04575028609445562,0.876277497666063,0.004650179845166101
50_50,test_final,1.335489074498968,0.09477294704483614,0.8844195543442865,0.003457374484662422,0.34359864353552605,0.03079381258779576,0.8682219368963178,0.006983604763654924
50_50,val_inner,1.2995295013109824,0.16302383456655817,0.9039569898675444,0.0017580108701686305,0.34872110320302663,0.047490135089795424,0.8786461294138619,0.004673753608066891
60_40,test_final,1.5264559937590025,0.10163845665804919,0.8852647739558869,0.003245063690279178,0.41526185564576695,0.03936528251454428,0.8709701680967875,0.006749062688302486
60_40,val_inner,1.4813226309620846,0.14490138500318697,0.9041483919578998,0.0017822906814117735,0.42037094715809387,0.052498064480947314,0.8806269175066298,0.004272141965812666
70_30,test_final,1.668469355837967,0.09031126250751846,0.885539412376972,0.0037238892215447463,0.5200388389402392,0.0357718212199812,0.8724424482347342,0.006181312849088403
70_30,val_inner,1.6295721197915807,0.09053871491225167,0.9046165766512608,0.0020611409003826334,0.5275005591043407,0.04148008872769095,0.8817173221926756,0.0041885242045264824
80_20,test_final,1.6258615467554733,0.07044978429711486,0.8858997554549577,0.0030316352837477787,0.6280521680414435,0.031124205760494354,0.8738855123328563,0.005322314638214642
80_20,val_inner,1.6281738193956152,0.05697305543704964,0.9047490079480631,0.002253232979995971,0.639916860865857,0.026668854230057427,0.8824065726944654,0.0038632602147076985
90_10,test_final,1.4824347944722471,0.042032651906793436,0.885979014844341,0.002741038205587494,0.7061163293188015,0.023309649270994985,0.8742126475021497,0.004557522849167625
90_10,val_inner,1.4865155141408768,0.06668200391772784,0.9051088128467359,0.0020926552337330317,0.7256247283651117,0.023784132916339046,0.8828974106282306,0.004014922351835623
SVD_only,test_final,1.2842874614221227,0.03699820309510838,0.8858242258772222,0.002789030262159354,0.7496093991683946,0.017567326036815538,0.87382805504656,0.003941424316894724
SVD_only,val_inner,1.3006612016160368,0.04510484445903955,0.9047921305201341,0.0027535696262182387,0.7702798988619769,0.020803896296309243,0.8812810386281044,0.004009544661610483
