epoch,train_rmse,train_mae,val_rmse,val_mae
1,0.8513699771398244,0.6807858622877209,0.8809824864372421,0.7040482427740762
2,0.8456266497490961,0.6756089517774586,0.8758470004318789,0.6991301765876052
3,0.8407836181652348,0.6712189551415377,0.8730173000242948,0.6974730755801601
4,0.8264151645454482,0.6593603700578737,0.8644384346637938,0.6892706747576315
5,0.8071311767191681,0.6443644952121212,0.8572787824306096,0.6835602077403578
6,0.7899180345953715,0.6310455030195863,0.8515506740048149,0.6805285435924823
7,0.7657542678012889,0.6101448475692818,0.84805660043062,0.6722434578319113
8,0.7379156243789743,0.5900549427373114,0.8431092012065632,0.6703935286348
9,0.7108584963825545,0.5677807491766349,0.8444159309986604,0.66913565220954
10,0.6891676833028159,0.5510152540339469,0.8494067150962873,0.6742530480264282
11,0.6622655178890074,0.52787674605185,0.8488025586050825,0.6692734657895054
12,0.6426295721420499,0.5139130180075863,0.8508956513119525,0.6730298478030813
13,0.6263370160576601,0.5003241861970187,0.8529093272287075,0.675231594567197
