epoch,train_rmse,train_mae,val_rmse,val_mae
1,0.8515826036639196,0.6805964576680579,0.8719861012009987,0.696031474294089
2,0.8441444824269477,0.6744362553316259,0.8665936755288483,0.6912523639445196
3,0.8394534411450316,0.6689565573745205,0.8662008177675586,0.6890085806705731
4,0.824849797261197,0.6575825721688723,0.8576897005570053,0.6832387292051038
5,0.8052607940559479,0.6435230410672166,0.8524032621051602,0.6797152493194799
6,0.7834114358678174,0.6253481935256262,0.8465777884587801,0.673058006268462
7,0.7649663777278528,0.6121958084794578,0.8426775494507506,0.6713696971821842
8,0.7423780619280039,0.5933478967258532,0.8408355746486212,0.6683021230862536
9,0.7115756739647511,0.5698826683734955,0.8396378872896786,0.6672080570585299
10,0.6927181620532618,0.5548003048060832,0.8432481107570052,0.6699906123288676
11,0.6696906401502026,0.5348857489879949,0.8471621162957028,0.669908867751689
12,0.6420878258992472,0.5139685773992484,0.8436637571017139,0.6686993674203539
13,0.621953684105277,0.4975232613441408,0.8461610978199845,0.6686822830626264
14,0.6082578501693134,0.4849638071940096,0.8488952623813517,0.6706161426158671
