ratio,segment,split,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std,r_svd
10_90,new,test_final,0.17011817254017123,0.12845288440520355,1.0,0.0,0.12190670336137566,0.08158738600756742,0.9144368635786011,0.01615575124187423,0.1
10_90,new,val_inner,0.18080774600828745,0.03586369486600893,1.0,0.0,0.12937733201709128,0.02664076555932721,0.9216610340119175,0.011402375002944288,0.1
10_90,regular,test_final,0.9199960998289015,0.0978651868419232,0.8300700456179702,0.007488490723964639,0.21133493334320583,0.02291875476817921,0.829999405484827,0.007736184770860709,0.1
10_90,regular,val_inner,0.8718158550781551,0.188101112776517,0.8587899855590473,0.0035749131552987676,0.20420388445073473,0.04129748330585461,0.8456987752646834,0.005331189892185776,0.1
10_90,trend,test_final,0.7362552473603663,0.15506226579175025,0.9760382197757194,0.004051648441350313,0.23529512500886768,0.03854820769223714,0.9029439065544806,0.0074387620692946636,0.1
10_90,trend,val_inner,0.8534650306846452,0.2741127987703903,0.984900302768095,0.0032883039598865984,0.28144045425095576,0.08260321627122319,0.9154552823104657,0.010896598904611294,0.1
20_80,new,test_final,0.18433222159685497,0.12047355576743657,1.0,0.0,0.13232539074761657,0.07835807176394795,0.9170662630363603,0.01904007351668573,0.2
20_80,new,val_inner,0.1892755486295709,0.03830371270353811,1.0,0.0,0.13618810983767243,0.0277576169585827,0.9218406427922797,0.011291082691563578,0.2
20_80,regular,test_final,1.0184847113964315,0.1042243748267822,0.8343458027421379,0.007005990400409792,0.23283281166975586,0.02243959874992229,0.8362699600103092,0.007915582201270253,0.2
20_80,regular,val_inner,0.9525406641063064,0.19734485474756683,0.8622418427220314,0.003520750624683904,0.22212993887659938,0.04457416764131402,0.8505929858928493,0.0048301235429317945,0.2
20_80,trend,test_final,0.8124875139866946,0.16462376071512858,0.976592009516995,0.003947028239235892,0.25663006539664324,0.046065006886617854,0.9048884636637553,0.007912180876179837,0.2
20_80,trend,val_inner,0.9293274311744076,0.3184963562377294,0.9856759174272648,0.004255679490538198,0.3111221273331428,0.09643005544758101,0.9163572110612626,0.012191312146358145,0.2
30_70,new,test_final,0.2111420069293528,0.10770522394249742,1.0,0.0,0.14908084380848818,0.06932970860625497,0.9209569679358169,0.017695469790529775,0.3
30_70,new,val_inner,0.20199853207963153,0.04064689307020655,1.0,0.0,0.14549839487503463,0.028486999457847717,0.9211075320449249,0.012154758869658455,0.3
30_70,regular,test_final,1.1475616465555523,0.1362550735917001,0.8376197262471715,0.00662908629187297,0.25965124894069197,0.030326196398701523,0.8411160377161304,0.00839605385896312,0.3
30_70,regular,val_inner,1.0718004749426953,0.19017870168652096,0.8643598883715198,0.003625194921614987,0.2493417488606331,0.04429966331103812,0.8541430207286236,0.004896556559974073,0.3
30_70,trend,test_final,0.9233353066001568,0.13338954909952636,0.9770734666447366,0.0033530499816875276,0.29075899727695864,0.04086733995670357,0.9071935995080251,0.008358587960930901,0.3
30_70,trend,val_inner,1.0376873856544244,0.2757023040689128,0.9861326391093209,0.004108263684011114,0.3520797119101564,0.08890669086102705,0.918054121316913,0.010805047611085165,0.3
40_60,new,test_final,0.227512152906929,0.10947362634018751,1.0,0.0,0.16088148124147475,0.0712997192643067,0.9219635867263729,0.01705776422942797,0.4
40_60,new,val_inner,0.21960133450441083,0.045793067621324034,1.0,0.0,0.15757419488485205,0.03158398818432949,0.9228239115552686,0.01260508734827448,0.4
40_60,regular,test_final,1.3482715100686593,0.14393729954884146,0.84006902805799,0.006505166962424344,0.30425801826889937,0.03526667177220517,0.8452085648092224,0.008921907972557194,0.4
40_60,regular,val_inner,1.249338604096124,0.17142783686395363,0.8660260169509474,0.003235168197679087,0.291992057520812,0.044854997996846856,0.8577370935198252,0.004937196807856708,0.4
40_60,trend,test_final,1.1538759230707547,0.177194645498356,0.9780552364467757,0.004034583604088747,0.36087171106175703,0.05362370567916131,0.9101913489006981,0.008702032274066341,0.4
40_60,trend,val_inner,1.217576107845027,0.28711005321553745,0.9861273649603681,0.004147716904014477,0.42007036453136093,0.09399365551683757,0.919902460916959,0.010817473141719028,0.4
50_50,new,test_final,0.23878310584744716,0.10901057095672781,1.0,0.0,0.16783696964913708,0.07204600527988039,0.923048532598498,0.014385049058510317,0.5
