ratio,segment,split,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std,r_svd
10_90,new,n/a,0.017103133533425553,0.006086573306221733,0.10727956454899998,0.03860055886189654,0.02893431048816572,0.010137372567192956,0.05657556670649881,0.020131530843845596,0.1
10_90,regular,n/a,0.0663094726712353,0.0024737870582382886,0.0922392688131326,0.009090392678742964,0.06551396470503808,0.0032876861198027083,0.09061358193527412,0.007151525268069416,0.1
10_90,trend,n/a,0.057763729073711786,0.005843962778633536,0.12741514215101582,0.01306155484956852,0.07443644255241175,0.007608173567123295,0.09422501376155351,0.007280935295742416,0.1
20_80,new,n/a,0.016586412792356987,0.006033401210333099,0.10285762032922967,0.03632133727574341,0.028011771524322403,0.009975710632415806,0.05025543526591543,0.017868266568566542,0.2
20_80,regular,n/a,0.0647693306266618,0.002555050414868355,0.09122458041727365,0.009878290139562575,0.06437146036355662,0.003523958477158471,0.0874878813697865,0.007640373052037743,0.2
20_80,trend,n/a,0.05634455402251341,0.006709561539589032,0.12545779888105635,0.0157570306357864,0.07279314773034014,0.009003654880405752,0.09230826935002549,0.009175473900355773,0.2
30_70,new,n/a,0.01601278702098949,0.006142500117715951,0.09877409106815337,0.0373491743989615,0.02702385220396252,0.01019366445141262,0.04619431880978163,0.0170621667263719,0.3
30_70,regular,n/a,0.06292908841644589,0.0028330348199860906,0.08902141819394623,0.009215594338899442,0.06270656272322614,0.0035676936529761526,0.08473934188688824,0.0073401280928370215,0.3
30_70,trend,n/a,0.055600162531318595,0.005337997292694157,0.12503917748119628,0.01380004654295194,0.07200084948433141,0.007241451529731161,0.0919440747419275,0.008200048176845071,0.3
40_60,new,n/a,0.015628043714766622,0.005999392931766277,0.09663745340020485,0.0360565462428942,0.026382128008981886,0.009931808607688584,0.043744691315090505,0.01577676875101016,0.4
40_60,regular,n/a,0.0616701986881034,0.0035071619086817656,0.08786403302385214,0.0102287420255101,0.06168412600435889,0.004175320322639791,0.08287749911010796,0.00809648064096161,0.4
40_60,trend,n/a,0.053673556034864955,0.005347566501576307,0.1215724022541413,0.014251418514001479,0.06971533257644077,0.007093334952287516,0.08947332542777839,0.008873022778210352,0.4
50_50,new,n/a,0.014835810753487588,0.005213977024090672,0.09331874495495521,0.03285256087930112,0.025104830371587495,0.008658057235946325,0.041346784727976565,0.014018437986398288,0.5
50_50,regular,n/a,0.06026809205774617,0.0037683292165438006,0.08472311663080005,0.010760645696426598,0.060031313049150256,0.004483277446884995,0.0807020428765021,0.008647606359475044,0.5
50_50,trend,n/a,0.05183072067602672,0.00477218892578584,0.11659161364663691,0.013035705512196946,0.0673606703822981,0.00606007544135594,0.08709792487063776,0.00806028403186029,0.5
60_40,new,n/a,0.01362972545592273,0.005255564440483071,0.08746469402394128,0.03186849145689451,0.023129205185195983,0.008715158050600243,0.038355635175905095,0.013608282184711414,0.6
60_40,regular,n/a,0.058146686384031865,0.0038654992822747796,0.0805453429751017,0.011129945241560723,0.057694344065663095,0.004546159084396974,0.07813673275951852,0.009204886722106993,0.6
60_40,trend,n/a,0.05027444337868085,0.0038454464362103922,0.11191883487189062,0.010788395457377436,0.06507935885907208,0.004729217945509807,0.08488818095353384,0.007614749223956862,0.6
70_30,new,n/a,0.012726145365470478,0.0050497180773914855,0.08303552061040705,0.029180706481113986,0.02165005445368256,0.0083093074913184,0.03609665503432765,0.01233414665896368,0.7
70_30,regular,n/a,0.05712616602616851,0.0038286763296404556,0.07741034003835474,0.011121126451830143,0.05633231118663223,0.004572609747043264,0.07644483035484081,0.009305159835310939,0.7
70_30,trend,n/a,0.049312440529855894,0.004106866999717902,0.10835712955666799,0.012534987212784694,0.06361550312300387,0.00516395125410932,0.08337311139824638,0.008600448117402551,0.7
80_20,new,n/a,0.011633568220369001,0.004012245705759269,0.07549531717091743,0.02396708416194537,0.019782786118795796,0.006606069146917938,0.03321619794920638,0.010266274558110328,0.8
80_20,regular,n/a,0.055791375549910024,0.004348801021355761,0.07417531160236158,0.010374298432885771,0.05476835411390128,0.004699560586035209,0.07476435228132702,0.009519683457074057,0.8
80_20,trend,n/a,0.0490003155006684,0.004590329228084134,0.10610051408814529,0.0147214389036149,0.06294508977405823,0.006483788396288707,0.08249828839450693,0.010425685119440142,0.8
90_10,new,n/a,0.009039417324991628,0.002718393922817469,0.05711971736309829,0.01662476277979103,0.015318287195335747,0.004513516351537704,0.027224678153631027,0.007707740194629413,0.9
90_10,regular,n/a,0.05381299948416605,0.004435295764416988,0.06785721858188438,0.009221962202200503,0.052283942730898515,0.004719163582570998,0.07205169884667385,0.009442197581771467,0.9
90_10,trend,n/a,0.04959795008046773,0.004536898292384535,0.10787583174890521,0.013502250371307449,0.06383502940749058,0.005989224208015903,0.08310572680063338,0.00982169914108633,0.9
